17:30 Saturday, December 08, 2018
wigging		нагоняй, нахлобучка, разнос [ 'wɪgɪŋ ]
worship		  поклоняться, почитать благоговеть, боготворить посещать церковь поклонение, почитание вероисповедание, богослужение, культ [ 'wɜːʃɪp ]
harp		занудствовать, завести волынку надоедливо твердить о,  арфа губная гармоника [ hɑːp ]
head cold		 насморк []
sewer		сточная труба; коллектор, канализационная труба  обеспечивать, снабжать канализацией швец; швея [ 'səuə ]
evasively		 уклончиво [ ɪ'veɪsɪvlɪ ]
dint		след, вмятина, отпечаток оставлять след, вмятину, отпечаток [ dɪnt ]
rehearsed		 отрепетированный [ rɪ'hɜːst ]
stricken		  поражённый  (болезнью, горем)   раненый, больной [ 'strɪk(ə)n ] 
interject		 вставлять замечания; мимоходом замечать, прерывать [ ˌɪntə'ʤekt ]
luxuriously		с наслаждением роскошно, пышно, богато; превосходно [ lʌg'ʒu(ə)rɪəslɪ ], [ 'zjuər- ] 
plainly		понятно, очевидно, ясно   откровенно, прямо, открыто   просто, безыскусно [ 'pleɪnlɪ ]
trench		  канавка, углубление окоп, траншея океанская впадина котловина в горах рыть рвы, канавы, окопы, траншеи вскапывать прорезать  (желобки, борозды)  посягать на [ tren(t)ʃ ] 
smattering		поверхностное знание smattering of the language.  — немного выучились языку, малое количество a smattering of applause  — редкие аплодисменты [ 'smæt(ə)rɪŋ ] 
swollen		вздутый, раздутый; опухший непомерно высокий  (о ценах)  [ 'swəulən ]
uphold		поддерживать, помогать   подтверждать, одобрять сохранять, удерживать  (на том же уровне)  поднимать [ ʌp'həuld ]
fellowship		товарищество, братство чувство товарищества, дружеские отношения членство  стипендия  [ 'feləuʃɪp ] 
chomp		чавкать; хрупать, громко жевать [ ʧɔmp ]
boar		 хряк ,wild boar  — кабан, вепрь boarhound :) [ bɔː ] 
lettuce		салат-латук разг. деньги, "зелёные", "капуста" [ 'letɪs ]
spell		промежуток времени  приступ   (рабочая) смена дать передышку, срок, период ;заклинание  заколдовывать,   писать или произносить  (слово)  по буквам означать, влечь за собой [ spel ]
marauding		 мародёрство, грабительство  мародёрский, хищнический, грабительский [ mə'rɔːdɪŋ ]
mince		  крошить, рубить   пропускать через мясорубку смягчать, умалять; преуменьшать держаться жеманно   говорить очень чётко, с хорошей дикцией и произношением семенить ногами, ступать маленькими шажками   фарш [ mɪn(t)s ]
tinsel		блёстки, мишура ткань с блестящей нитью мишурный; показной украшать мишурой, блёстками придавать внешний лоск, блеск [ 'tɪn(t)s(ə)l ] 
whirl		вертеться; кружиться; вращаться   нестись, мчаться,уносить, увлекать бросать, кидать быть в смятении суматоха, суета,[ (h)wɜːl ]
sullen		замкнутый, сердитый, угрюмый печальный, мрачный; зловещий; гнетущий медленно текущий [ 'sʌlən ] 
reluctantly		с неохотой, неохотно, против желания [ rɪ'lʌkt(ə)ntlɪ ]
dig in		разг. жадно начинать есть окапываться прятать, защищать  (в окопах)проявлять терпение, стойко переносить трудности упрочивать, укреплять []
sequin		блёстка на платье [ 'siːkwɪn ]
luncheon		ланч  (преимущественно официальный)  [ 'lʌnʧən ]
roving		блуждающий  (о взгляде и т. п.)  бродячий, кочевой, кочующий [ 'rəuvɪŋ ]
utter		издавать звук; произносить излагать, выражать словами полный, совершенный, абсолютный   решительный, определённый [ 'ʌtə ]
tripe		рубец или желудок разг. вздор, дрянь, чепуха, чушь уст.; =  bag of tripe   дрянь, сволочь [ traɪp ] 
percussion		  столкновение  (двух тел) , удар; сотрясение  мед. выстукивание, перкуссия муз.; употр. с гл. во мн. ударные инструменты [ pə'kʌʃ(ə)n ]
unaware		  не знающий, не ведающий   неосторожный, опрометчивый, безрассудный [ ˌʌnə'weə ]
lacking		лишённый, не имеющий  (чего-л.)  недостающий, отсутствующий [ 'lækɪŋ ]
tart		резкий, колкий, ядовитый кислый; терпкий; едкий раздражительный, саркастический пирог  (с фруктами) разг. жена; подружка  проститутка мальчик на содержании у педераста сделать интереснее принарядить, украсить вырядиться, принарядиться [ tɑːt ] 
good deal		 значительное количество, много []
devious		блуждающий; слоняющийся;удалённый,бегать, носиться, резво скакать  отдалённый; уединённый; изолированный окольный, кружный, обходной заблудший, сбившийся с пути неискренний; нечестный, непорядочный [ 'diːvɪəs ]
visor		забрало козырёк  (фуражки)  маска, маскировка [ 'vaɪzə ]
flagon		графин, большая бутыль со сплюснутыми боками [ 'flægən ]
mead		 медовуха  луг  Syn: meadow [ miːd ]
scurvy		презренный, жалкий низкий, подлый цинга [ 'skɜːvɪ ] 
cur		  дворняжка, непородистая (злая) собака грубиян, хам, невоспитанный человек трус, малодушный человек [ kɜː ]
grave		произвести впечатление серьёзный, веский, важный; мрачный, печальный могила; захоронение смерть, гибель вырезать, гравировать очищать подводную часть судна   [ greɪv ] 
announcement		объявление, сообщение; извещение, уведомление [ ə'naun(t)smənt ]
flown		управляемый  (о полёте)  перевозимый по воздуху [ fləun ] 
tamper		вмешиваться  портить, наносить ущерб подделывать подкупать, влиять на трамбовка; пест оболочка атомной бомбы [ 'tæmpə ] 
subject		подчинять, покорять   предрасполагать, склонять   представлять, вносить  зависимый, подвластный, подневольный, подчинённый тема, предмет разговора субъект, человек [ 'sʌbʤekt ]
refuge		убежище; прибежище   давать, предоставлять убежище служить прибежищем [ 'refjuːʤ ]
ward		(off)   отражать, отвращать  (удар, опасность)  помещать в больницу; сажать  в тюрьму ;защищать, охранять ward off держать  (кого-л.)  на расстоянии опекунство, опека тюремная камера внутренний дворик административный район города [ wɔːd ] 
bonfire		костёр [ 'bɔnˌfa(ɪ)ə ]
scamper		бегать, носиться, резво скакать быстрый бег; пробежка беглое прочтение, быстрый просмотр [ 'skæmpə ] 
crumble		раскрошить, растолочь, растереть сыпаться, осыпаться; обваливаться терпеть крах, разрушаться, гибнуть [ 'krʌmbl ]
log		бревно; колода; чурбан разрез буровой скважины ;заготавливать пилить лес на стройматериалы ;вносить в журнал  проходить по лагу  (расстояние)  [ lɔg ]
lofty		высокомерный, надменный; горделивый ;очень высокий далёкий, отдалённый благородный, великодушный величественный [ 'lɔftɪ ]
maddening		 сводящий с ума   maddening pain  — безумная боль [ 'mæd(ə)nɪŋ ]
resentful		обиженный; возмущённый обидчивый [ rɪ'zentf(ə)l ], [ -ful ] 
despair		  отчаяние; упадок духа; безнадёжность, безысходность of)   падать духом, отчаиваться, терять надежду [ dɪ'speə ]
wisp		пучок, жгут, клок   худенький, хрупкий человек клочок, обрывок; след, остаток, фрагмент   метёлка [ wɪsp ]
astound		изумлять, поражать  Syn: pamaze, strike dumb [ ə'staund ] 
